"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","1.0702","1.0663","1.0714","1.0639","","0.38%"
"12/29/2022","1.0661","1.0609","1.0691","1.0609","","0.50%"
"12/28/2022","1.0608","1.0642","1.0675","1.0606","","-0.28%"
"12/27/2022","1.0638","1.0638","1.0670","1.0611","","0.03%"
"12/26/2022","1.0635","1.0611","1.0638","1.0604","","0.20%"
"12/23/2022","1.0614","1.0595","1.0633","1.0586","","0.20%"
"12/22/2022","1.0593","1.0607","1.0660","1.0572","","-0.09%"
"12/21/2022","1.0603","1.0625","1.0646","1.0589","","-0.17%"
"12/20/2022","1.0621","1.0606","1.0660","1.0579","","0.15%"
"12/19/2022","1.0605","1.0591","1.0659","1.0576","","0.22%"
"12/16/2022","1.0582","1.0626","1.0664","1.0584","","-0.41%"
"12/15/2022","1.0626","1.0683","1.0737","1.0592","","-0.52%"
"12/14/2022","1.0682","1.0633","1.0696","1.0619","","0.49%"
"12/13/2022","1.0630","1.0534","1.0674","1.0528","","0.90%"
"12/12/2022","1.0535","1.0528","1.0581","1.0506","","0.05%"
"12/09/2022","1.0530","1.0559","1.0589","1.0507","","-0.25%"
