Date,Close/Last,Volume,Open,High,Low
05/04/2026,$61.425,0,$61.242,$61.431,$61.242
05/03/2026,$61.275,0,$61.275,$61.275,$61.275
05/01/2026,$61.352,0,$61.290,$61.520,$61.141
04/30/2026,$61.331,0,$61.635,$61.721,$61.189
04/29/2026,$61.642,0,$61.110,$61.734,$61.110
04/28/2026,$61.118,0,$60.755,$61.316,$60.668
04/27/2026,$60.752,0,$60.716,$60.894,$60.607
04/24/2026,$60.703,0,$60.451,$60.788,$60.439
04/23/2026,$60.498,0,$60.157,$60.561,$60.104
04/22/2026,$60.160,0,$59.918,$60.233,$59.918
04/21/2026,$60.015,0,$59.919,$60.200,$59.810
04/20/2026,$59.863,0,$59.910,$60.069,$59.705
04/17/2026,$59.666,0,$60.075,$60.186,$59.389
04/16/2026,$60.004,0,$60.091,$60.121,$59.837
04/15/2026,$60.067,0,$59.846,$60.133,$59.735
04/14/2026,$59.852,0,$60.079,$60.183,$59.701
04/13/2026,$60.040,0,$59.923,$60.478,$59.917
04/10/2026,$59.938,0,$59.695,$60.011,$59.635
04/09/2026,$59.672,0,$59.489,$59.938,$59.413
04/08/2026,$59.491,0,$60.225,$60.262,$59.316
04/07/2026,$60.225,0,$60.067,$60.319,$60.019
04/06/2026,$60.063,0,$60.194,$60.599,$60.006
04/03/2026,$60.226,0,$60.332,$60.351,$60.176
04/02/2026,$60.344,0,$60.227,$60.689,$60.157
04/01/2026,$60.227,0,$60.623,$60.731,$60.063
03/31/2026,$60.626,0,$60.740,$60.791,$60.487
03/30/2026,$60.741,0,$60.645,$60.860,$60.608
03/27/2026,$60.531,0,$60.223,$60.613,$60.177
03/26/2026,$60.223,0,$60.073,$60.326,$60.049
03/25/2026,$60.072,0,$59.924,$60.153,$59.874
03/24/2026,$59.895,0,$59.977,$60.156,$59.719
03/23/2026,$59.959,0,$60.112,$60.438,$59.248
03/20/2026,$59.842,0,$59.832,$59.988,$59.639
03/19/2026,$59.840,0,$59.703,$60.363,$59.611
03/18/2026,$59.724,0,$59.797,$60.004,$59.482
03/17/2026,$59.701,0,$59.820,$59.894,$59.522
03/16/2026,$59.701,0,$59.745,$60.085,$59.525
03/13/2026,$59.771,0,$59.375,$59.889,$59.375
03/12/2026,$59.439,0,$59.209,$59.664,$59.152
03/11/2026,$59.209,0,$58.869,$59.310,$58.784
03/10/2026,$58.963,0,$59.335,$59.405,$58.857
03/09/2026,$59.122,0,$59.016,$59.710,$59.016
03/06/2026,$59.068,0,$58.717,$59.309,$58.632
03/05/2026,$58.916,0,$58.354,$58.951,$58.345
03/04/2026,$58.394,0,$58.454,$58.677,$58.310
03/03/2026,$58.447,0,$58.223,$58.668,$58.162
03/02/2026,$58.220,0,$57.686,$58.282,$57.667
02/27/2026,$57.690,0,$57.629,$57.742,$57.538
02/26/2026,$57.629,0,$57.539,$57.773,$57.462
02/25/2026,$57.540,0,$57.742,$57.790,$57.442
02/24/2026,$57.744,0,$57.619,$57.820,$57.579
02/23/2026,$57.622,0,$58.042,$58.180,$57.506
02/20/2026,$58.085,0,$58.005,$58.189,$57.888
02/19/2026,$58.012,0,$57.931,$58.084,$57.862
02/18/2026,$57.927,0,$57.947,$58.041,$57.819
02/17/2026,$57.941,0,$58.037,$58.058,$57.792
02/16/2026,$58.036,0,$57.896,$58.040,$57.886
02/13/2026,$57.969,0,$58.106,$58.137,$57.781
02/12/2026,$58.106,0,$58.270,$58.305,$57.950
02/11/2026,$58.270,0,$58.512,$58.533,$58.224
02/10/2026,$58.512,0,$58.502,$58.563,$58.408
02/09/2026,$58.498,0,$58.542,$58.603,$58.393
02/06/2026,$58.569,0,$58.783,$58.813,$58.419
02/05/2026,$58.788,0,$58.972,$58.987,$58.669
02/04/2026,$58.972,0,$59.058,$59.071,$58.899
02/03/2026,$59.059,0,$58.891,$59.187,$58.843
02/02/2026,$58.891,0,$58.909,$58.947,$58.804
01/30/2026,$58.900,0,$58.982,$59.022,$58.847
01/29/2026,$58.979,0,$58.766,$59.050,$58.734
01/28/2026,$58.766,0,$58.930,$58.980,$58.676
01/27/2026,$58.944,0,$59.066,$59.124,$58.841
01/26/2026,$59.154,0,$59.122,$59.197,$58.925
01/23/2026,$59.042,0,$59.065,$59.150,$58.901
01/22/2026,$58.998,0,$59.262,$59.323,$58.933
01/21/2026,$59.257,0,$59.391,$59.491,$59.088
01/20/2026,$59.380,0,$59.438,$59.525,$59.245
01/19/2026,$59.438,0,$59.345,$59.492,$59.332
01/16/2026,$59.385,0,$59.466,$59.501,$59.338
01/15/2026,$59.466,0,$59.451,$59.560,$59.376
01/14/2026,$59.448,0,$59.374,$59.522,$59.308
01/13/2026,$59.374,0,$59.260,$59.508,$59.189
01/12/2026,$59.260,0,$59.165,$59.430,$59.162
01/09/2026,$59.231,0,$59.165,$59.281,$59.081
01/08/2026,$59.164,0,$59.237,$59.320,$59.061
01/07/2026,$59.237,0,$59.226,$59.373,$59.133
01/06/2026,$59.226,0,$59.059,$59.281,$58.995
01/05/2026,$59.059,0,$58.838,$59.215,$58.805
01/02/2026,$58.838,0,$58.861,$58.918,$58.794
01/01/2026,$58.853,0,$58.854,$58.885,$58.807
12/31/2025,$58.856,0,$58.842,$58.987,$58.789
12/30/2025,$58.861,0,$58.827,$58.902,$58.774
12/29/2025,$58.828,0,$58.767,$58.911,$58.737
12/26/2025,$58.755,0,$58.801,$58.859,$58.728
12/25/2025,$58.795,0,$58.775,$58.832,$58.765
12/24/2025,$58.786,0,$58.800,$58.835,$58.670
12/23/2025,$58.800,0,$58.744,$58.888,$58.691
12/22/2025,$58.744,0,$58.660,$58.796,$58.561
12/19/2025,$58.646,0,$58.546,$58.827,$58.502
12/18/2025,$58.587,0,$58.717,$58.752,$58.517
12/17/2025,$58.701,0,$58.723,$58.828,$58.614
12/16/2025,$58.723,0,$58.957,$59.006,$58.569
12/15/2025,$58.957,0,$59.106,$59.134,$58.858
12/12/2025,$59.087,0,$59.015,$59.149,$58.908
12/11/2025,$58.990,0,$59.132,$59.204,$58.938
12/10/2025,$59.132,0,$59.181,$59.301,$59.119
12/09/2025,$59.262,0,$59.099,$59.387,$59.025
12/08/2025,$59.100,0,$59.005,$59.122,$58.927
12/05/2025,$58.940,0,$59.131,$59.141,$58.899
12/04/2025,$59.130,0,$58.942,$59.213,$58.905
12/03/2025,$58.999,0,$58.557,$59.096,$58.522
12/02/2025,$58.647,0,$58.456,$58.784,$58.334
12/01/2025,$58.411,0,$58.633,$58.667,$58.384
11/28/2025,$58.633,0,$58.770,$58.802,$58.588
11/27/2025,$58.798,0,$58.808,$58.864,$58.728
11/26/2025,$58.784,0,$58.821,$58.881,$58.679
11/25/2025,$58.798,0,$58.907,$58.945,$58.762
11/24/2025,$58.938,0,$58.807,$59.008,$58.801
11/21/2025,$58.761,0,$59.055,$59.080,$58.698
11/20/2025,$59.054,0,$58.963,$59.122,$58.927
11/19/2025,$59.014,0,$58.873,$59.053,$58.820
11/18/2025,$58.846,0,$58.951,$59.070,$58.764
11/17/2025,$58.933,0,$59.050,$59.256,$58.869
11/14/2025,$59.075,0,$58.979,$59.190,$58.766
11/13/2025,$58.938,0,$59.171,$59.179,$58.760
11/12/2025,$59.124,0,$58.960,$59.214,$58.911
11/11/2025,$58.944,0,$58.922,$59.067,$58.831
11/10/2025,$58.916,0,$59.050,$59.090,$58.743
11/07/2025,$58.959,0,$59.067,$59.177,$58.902
11/06/2025,$59.052,0,$58.779,$59.087,$58.726
11/05/2025,$58.758,0,$58.627,$58.896,$58.606
11/04/2025,$58.570,0,$58.752,$58.789,$58.519
11/03/2025,$58.683,0,$58.797,$58.938,$58.638
10/31/2025,$58.734,0,$58.856,$58.902,$58.613
10/30/2025,$58.868,0,$58.707,$59.036,$58.591
10/29/2025,$58.650,0,$59.118,$59.232,$58.470
10/28/2025,$59.103,0,$58.931,$59.277,$58.843
10/27/2025,$58.898,0,$58.713,$58.942,$58.589
10/24/2025,$58.783,0,$58.623,$58.783,$58.529
10/23/2025,$58.603,0,$58.512,$58.701,$58.466
10/22/2025,$58.487,0,$58.301,$58.552,$58.230
10/21/2025,$58.331,0,$58.170,$58.397,$58.094
10/20/2025,$58.170,0,$58.161,$58.228,$58.068
10/17/2025,$58.156,0,$58.055,$58.225,$58.013
10/16/2025,$58.004,0,$58.150,$58.160,$57.961
10/15/2025,$58.148,0,$58.225,$58.268,$57.992
10/14/2025,$58.232,0,$58.253,$58.291,$58.111
10/13/2025,$58.180,0,$58.279,$58.357,$58.100
10/10/2025,$58.282,0,$58.370,$58.401,$58.089
10/09/2025,$58.433,0,$57.975,$58.519,$57.799
10/08/2025,$57.994,0,$58.114,$58.225,$57.935
10/07/2025,$58.108,0,$58.281,$58.346,$57.991
10/06/2025,$58.268,0,$57.911,$58.366,$57.906
10/03/2025,$57.936,0,$58.094,$58.148,$57.835
10/02/2025,$58.097,0,$58.172,$58.314,$58.057
10/01/2025,$58.180,0,$58.283,$58.366,$57.976
09/30/2025,$58.338,0,$58.110,$58.437,$58.038
09/29/2025,$58.057,0,$58.158,$58.275,$57.958
09/26/2025,$58.153,0,$58.355,$58.417,$57.996
09/25/2025,$58.312,0,$57.645,$58.324,$57.645
09/24/2025,$57.651,0,$57.296,$57.712,$57.241
09/23/2025,$57.295,0,$57.021,$57.389,$56.957
09/22/2025,$56.937,0,$57.041,$57.186,$56.860
09/19/2025,$56.971,0,$57.067,$57.228,$56.948
09/18/2025,$57.180,0,$56.844,$57.408,$56.844
09/17/2025,$56.741,0,$56.865,$56.928,$56.695
09/16/2025,$56.867,0,$57.097,$57.147,$56.773
09/15/2025,$57.122,0,$57.169,$57.426,$57.032
09/12/2025,$57.132,0,$57.160,$57.221,$57.049
09/11/2025,$57.127,0,$57.091,$57.272,$57.037
09/10/2025,$57.060,0,$57.036,$57.187,$56.991
09/09/2025,$57.027,0,$56.719,$57.117,$56.652
09/08/2025,$56.703,0,$56.668,$56.902,$56.501
09/05/2025,$56.695,0,$57.066,$57.160,$56.567
09/04/2025,$57.159,0,$57.298,$57.344,$57.093
09/03/2025,$57.261,0,$57.422,$57.504,$57.176
09/02/2025,$57.432,0,$57.229,$57.482,$57.152
09/01/2025,$57.196,0,$57.164,$57.345,$57.118
08/29/2025,$57.146,0,$56.935,$57.265,$56.923
